cname,cnid,kyno,jqno,createuser,lname,lid,lacsid,cellidbid,xhqd,nid,yystype,xhtype,isms,slong,slat,cdate,mlac,mcell,hlac,hcell,bzinfo,no3,no4,islastgps,baidujd,baiduwd,cellidlong,bztype,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,3942,4977,2,15,电信,3,1,117.07971089575372,36.67238301441333,2016-05-15 06:57:10, , ,3942,4977, ,0,0,0,117.086263,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21254,38913,-49, ,联通,4,1,117.07971089575372,36.67238301441333,2016-05-15 06:57:10, , ,5306,031A9801, ,0,0,0,117.086263,36.678199,52074497,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,54018,45187,-58, ,联通,3,1,117.07971089575372,36.67238301441333,2016-05-15 06:57:10, , ,D302,0702B083, ,0,0,0,117.086263,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21264,48642,-48, ,移动,4,1,117.07971089575372,36.67238301441333,2016-05-15 06:57:10, , ,5310,0577BE02, ,0,0,0,117.086263,36.678199,91733506,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,54292,5686,-82, ,移动,3,1,117.07971089575372,36.67238301441333,2016-05-15 06:57:10, , ,D414,0C3D1636, ,0,0,0,117.086263,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,5913,25604,-54, ,联通,2,1,117.07971089575372,36.67238301441333,2016-05-15 06:57:10, , ,1719,00006404, ,0,0,0,117.086263,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,25347,9292,-63, ,移动,2,1,117.07971089575372,36.67238301441333,2016-05-15 06:57:10, , ,6303,0000244C, ,0,0,0,117.086263,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21264,7482, , ,移动,2,0,117.07971089575372,36.67238301441333,2016-05-15 06:57:10,25347,9292,5310,00001D3A, ,0,0,0,117.086263,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,25347,9291, , ,移动,2,0,117.07971089575372,36.67238301441333,2016-05-15 06:57:10,25347,9292,6303,0000244B, ,0,0,0,117.086263,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21264,52323, , ,移动,2,0,117.07971089575372,36.67238301441333,2016-05-15 06:57:10,25347,9292,5310,0000CC63, ,0,0,0,117.086263,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,25347,9293, , ,移动,2,0,117.07971089575372,36.67238301441333,2016-05-15 06:57:10,25347,9292,6303,0000244D, ,0,0,0,117.086263,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21264,11591, , ,移动,2,0,117.07971089575372,36.67238301441333,2016-05-15 06:57:10,25347,9292,5310,00002D47, ,0,0,0,117.086263,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,3942,4977,2,15,电信,3,1,117.07998920937573,36.67238332051957,2016-05-15 06:57:20, , ,3942,4977, ,0,0,0,117.086532,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21254,19971,-55, ,联通,4,1,117.07998920937573,36.67238332051957,2016-05-15 06:57:20, , ,5306,031A4E03, ,0,0,0,117.086532,36.678199,52055555,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,54018,45184,-59, ,联通,3,1,117.07998920937573,36.67238332051957,2016-05-15 06:57:20, , ,D302,0702B080, ,0,0,0,117.086532,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21264,48642,-51, ,移动,4,1,117.07998920937573,36.67238332051957,2016-05-15 06:57:20, , ,5310,0577BE02, ,0,0,0,117.086532,36.678199,91733506,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,54292,5686,-67, ,移动,3,1,117.07998920937573,36.67238332051957,2016-05-15 06:57:20, , ,D414,0C3D1636, ,0,0,0,117.086532,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,5913,25604,-55, ,联通,2,1,117.07998920937573,36.67238332051957,2016-05-15 06:57:20, , ,1719,00006404, ,0,0,0,117.086532,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,5913,25601, , ,联通,2,0,117.07998920937573,36.67238332051957,2016-05-15 06:57:20,5913,25604,1719,00006401, ,0,0,0,117.086532,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,25347,9292,-68, ,移动,2,1,117.07998920937573,36.67238332051957,2016-05-15 06:57:20, , ,6303,0000244C, ,0,0,0,117.086532,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,25347,9293, , ,移动,2,0,117.07998920937573,36.67238332051957,2016-05-15 06:57:20,25347,9292,6303,0000244D, ,0,0,0,117.086532,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21264,7482, , ,移动,2,0,117.07998920937573,36.67238332051957,2016-05-15 06:57:20,25347,9292,5310,00001D3A, ,0,0,0,117.086532,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21264,11591, , ,移动,2,0,117.07998920937573,36.67238332051957,2016-05-15 06:57:20,25347,9292,5310,00002D47, ,0,0,0,117.086532,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21264,52323, , ,移动,2,0,117.07998920937573,36.67238332051957,2016-05-15 06:57:20,25347,9292,5310,0000CC63, ,0,0,0,117.086532,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,25347,9291, , ,移动,2,0,117.07998920937573,36.67238332051957,2016-05-15 06:57:20,25347,9292,6303,0000244B, ,0,0,0,117.086532,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,54018,45181,-66, ,联通,3,1,117.07998920937573,36.67238332051957,2016-05-15 06:57:20, , ,D302,0702B07D, ,0,0,0,117.086532,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,942,535,2,5,电信,3,1,117.07971089575372,36.67238301441333,2016-05-15 06:57:45, , ,942,535, ,0,0,0,117.086263,36.678192, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919, , , , , , , ,117.07971089575372,36.67238301441333,2016-05-15 06:57:45, , , , ,电信2/3G大区变更：3942->942,0,0,0,117.086263,36.678192, ,2,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919, , , , , , , ,117.07971089575372,36.67238301441333,2016-05-15 06:57:48, , , , ,电信2/3G大区变更：942->3942,0,0,0,117.086263,36.678199, ,2,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919, , , , , , , ,117.07971089575372,36.67238301441333,2016-05-15 06:57:54, , , , ,电信2/3G大区变更：3942->942,0,0,0,117.086254,36.678199, ,2,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21264,52327,-66, ,移动,2,1,117.07971089575372,36.67238301441333,2016-05-15 06:57:57, , ,5310,0000CC67, ,0,0,0,117.086254,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919, , , , , , , ,117.07971089575372,36.67238301441333,2016-05-15 06:57:57, , , , ,电信2/3G大区变更：942->3942,0,0,0,117.086254,36.678199, ,2,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21264,52327,-66, ,移动,2,1,117.07971089575372,36.67238301441333,2016-05-15 06:58:00, , ,5310,0000CC67, ,0,0,0,117.086254,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919, , , , , , , ,117.07971089575372,36.67238301441333,2016-05-15 06:58:00, , , , ,电信2/3G大区变更：3942->942,0,0,0,117.086254,36.678199, ,2,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919,21264,52327,-66, ,移动,2,1,117.07971089575372,36.67238301441333,2016-05-15 06:58:02, , ,5310,0000CC67, ,0,0,0,117.086254,36.678199, ,0,
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,现场4,6e1a2999-bb4c-4a51-ad30-826cf89d2919, , , , , , , ,117.07971089575372,36.67238301441333,2016-05-15 06:58:02, , , , ,移动2G大区变更：25347->21264,0,0,0,117.086254,36.678199, ,2,
